"MC1","MC2","MC3","MC4","MC5","MC6","MC7","MC8","MC9","MC10","MC11","MC12","MC13","MC14","MC15","MC16","MC17","MC18","MC19","MC20"
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0
0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0
0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0
0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1
1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0
0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0
1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0
1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0
0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1
1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0
1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0
1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1
0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1
0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0
0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1
0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0
0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0
0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1
1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1
1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0
0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1
0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0
0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1
1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0
0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1
1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0
1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0
1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0
1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0
1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0
0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0
1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1
1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
